product_id,repeat_intervals,mean_interval_days
9526886,159,42.76729559748428
919948,159,62.42767295597484
910473,159,41.459119496855344
827683,159,49.37735849056604
13842088,159,33.38364779874214
1118533,159,58.61006289308176
1062128,159,54.60377358490566
1050131,159,53.81761006289308
970202,158,68.25949367088607
954642,158,41.82911392405063
1108131,158,50.11392405063291
1020682,158,88.55696202531645
1005274,158,43.822784810126585
951190,157,77.1592356687898
945662,157,57.77070063694268
918368,157,73.80254777070064
13115493,157,37.46496815286624
1128240,157,62.089171974522294
921836,156,49.51282051282051
1104343,156,74.71153846153847
1077490,156,85.78205128205128
998206,155,49.41290322580645
5578547,155,49.79354838709678
1105623,155,63.57419354838709
1097001,155,30.954838709677418
819765,154,50.91558441558441
944466,153,63.28104575163399
936594,153,52.08496732026144
922127,153,58.65359477124183
878302,153,30.666666666666668
12731436,153,47.22875816993464
1138292,153,10.745098039215685
1128016,153,61.97385620915033
9571047,152,46.401315789473685
819927,152,65.59868421052632
1112238,152,54.38815789473684
1071342,152,51.92763157894737
948420,151,37.28476821192053
858302,151,60.026490066225165
8090440,151,52.079470198675494
5585735,151,45.17218543046358
1009046,151,41.99337748344371
975938,150,5.846666666666667
910745,150,67.83333333333333
1130858,150,75.5
1118787,149,61.73154362416108
1042544,149,53.42953020134228
1022053,149,45.785234899328856
848319,148,72.83108108108108
12427353,148,30.72972972972973
1107661,148,34.304054054054056
1026346,148,25.47972972972973
1025611,148,66.31756756756756
895070,147,37.564625850340136
892531,147,46.87755102040816
5591038,147,40.72108843537415
1075214,147,71.07482993197279
1042907,147,82.60544217687075
976065,146,48.92465753424658
5590613,146,51.4041095890411
12301405,146,53.273972602739725
1133072,146,70.73287671232876
1092588,146,27.0
967395,145,80.12413793103448
922907,145,61.213793103448275
913894,145,58.855172413793106
905539,145,73.82758620689656
883963,145,67.8
833724,145,50.144827586206894
12988031,145,37.827586206896555
1027874,145,15.213793103448277
982493,144,52.96527777777778
903230,144,37.3125
867188,144,82.63194444444444
865026,144,26.604166666666668
1130777,144,34.125
885406,143,39.67832167832168
6533936,143,40.54545454545455
1098284,143,24.055944055944057
1082990,143,26.81118881118881
870980,142,31.661971830985916
1127758,142,49.056338028169016
1074524,142,52.528169014084504
977545,141,68.27659574468085
976300,141,53.177304964539005
972665,141,43.87234042553192
934676,141,67.91489361702128
1098844,141,98.53191489361703
9527158,140,30.8
9526411,140,56.114285714285714
939636,140,65.58571428571429
933067,140,67.04285714285714
843756,140,58.58571428571429
819840,140,51.72142857142857
12302069,140,66.98571428571428
1089766,140,33.45
